episode,tard,maint,total,timestamp,seed
20,687.885627,12.468632,700.354259,2026-01-22 00:14:24,20042
40,1513.211059,1807.954504,3321.165563,2026-01-22 00:15:56,40042
60,723.937443,2393.354059,3117.291502,2026-01-22 00:17:30,60042
80,819.859992,4579.731199,5399.591191,2026-01-22 00:19:08,80042
100,1134.243490,3238.905705,4373.149194,2026-01-22 00:20:47,100042
100,1161.749929,3560.844741,4722.594671,2026-01-22 00:20:49,42
20,824.177632,2215.788296,3039.965927,2026-01-22 16:03:51,20042
40,1032.441647,2419.649157,3452.090804,2026-01-22 16:05:22,40042
60,1245.563149,1997.719899,3243.283048,2026-01-22 16:06:58,60042
80,1122.749512,1643.145805,2765.895317,2026-01-22 16:08:37,80042
100,508.270904,1238.942172,1747.213076,2026-01-22 16:10:17,100042
100,1158.185105,1203.495876,2361.680981,2026-01-22 16:10:19,42
20,319.559970,0.000000,319.559970,2026-01-22 16:24:00,20042
40,999.960833,541.309595,1541.270428,2026-01-22 16:25:33,40042
60,235.265407,947.462894,1182.728301,2026-01-22 16:27:11,60042
80,678.707933,1648.268505,2326.976438,2026-01-22 16:28:50,80042
100,558.071581,1172.285601,1730.357181,2026-01-22 16:30:31,100042
100,244.041985,794.259158,1038.301142,2026-01-22 16:30:33,42
20,461.444966,402.478950,863.923916,2026-01-22 16:44:43,20042
40,322.879066,694.487177,1017.366243,2026-01-22 16:46:14,40042
60,168.687755,724.102621,892.790377,2026-01-22 16:47:51,60042
80,444.958829,822.303445,1267.262274,2026-01-22 16:49:33,80042
100,304.298728,808.482920,1112.781648,2026-01-22 16:51:14,100042
100,847.961691,1549.332710,2397.294401,2026-01-22 16:51:16,42
20,465.128364,851.268819,1316.397182,2026-01-24 01:09:35,20042
40,463.186969,874.743575,1337.930544,2026-01-24 01:11:14,40042
60,442.270653,1339.296030,1781.566683,2026-01-24 01:12:58,60042
80,95.278391,688.169777,783.448168,2026-01-24 01:14:44,80042
100,435.564119,1768.864095,2204.428214,2026-01-24 01:16:31,100042
100,237.474197,692.530982,930.005179,2026-01-24 01:16:33,42
20,409.671020,2119.887565,2529.558585,2026-01-24 12:05:26,20042
40,309.578475,872.098749,1181.677224,2026-01-24 12:07:18,40042
60,402.162061,942.372302,1344.534363,2026-01-24 12:09:14,60042
80,453.718184,1093.515695,1547.233879,2026-01-24 12:11:11,80042
100,312.579953,1112.574871,1425.154824,2026-01-24 12:13:08,100042
100,716.209975,1209.981291,1926.191266,2026-01-24 12:13:11,42
20,409.671020,2119.887565,2529.558585,2026-02-04 23:28:51,20042
40,309.578475,872.098749,1181.677224,2026-02-04 23:30:44,40042
60,402.162061,942.372302,1344.534363,2026-02-04 23:32:42,60042
80,453.718184,1093.515695,1547.233879,2026-02-04 23:34:44,80042
100,312.579953,1112.574871,1425.154824,2026-02-04 23:36:41,100042
100,716.209975,1209.981291,1926.191266,2026-02-04 23:36:44,42
20,519.580796,883.396299,1402.977096,2026-03-09 10:38:24,20042
40,519.584024,1163.823823,1683.407847,2026-03-09 10:40:17,40042
60,193.082932,932.076274,1125.159206,2026-03-09 10:42:14,60042
80,447.529255,1342.972464,1790.501719,2026-03-09 10:44:13,80042
100,696.127010,1373.653348,2069.780358,2026-03-09 10:46:12,100042
100,83.465663,1011.602166,1095.067829,2026-03-09 10:46:17,42
20,432.150650,249.707616,681.858265,2026-03-09 11:04:21,20042
40,668.691521,412.313437,1081.004957,2026-03-09 11:06:14,40042
60,142.041719,226.415369,368.457088,2026-03-09 11:08:12,60042
80,256.298612,214.477978,470.776589,2026-03-09 11:10:13,80042
100,586.092167,300.479474,886.571641,2026-03-09 11:12:14,100042
100,163.588073,141.935829,305.523903,2026-03-09 11:12:19,42
20,110.324443,124.903618,235.228060,2026-03-09 11:38:18,20042
40,359.049287,688.729742,1047.779029,2026-03-09 11:40:12,40042
60,679.547666,168.710109,848.257775,2026-03-09 11:42:09,60042
80,234.090283,132.233769,366.324052,2026-03-09 11:44:09,80042
100,408.447626,143.496301,551.943927,2026-03-09 11:46:10,100042
100,229.767349,122.234080,352.001429,2026-03-09 11:46:15,42
20,441.240946,530.164248,971.405194,2026-03-09 15:02:14,20042
40,797.926156,681.222375,1479.148530,2026-03-09 15:04:14,40042
60,304.176342,215.859605,520.035947,2026-03-09 15:06:15,60042
80,776.914326,286.882194,1063.796521,2026-03-09 15:08:18,80042
100,261.731162,240.000000,501.731162,2026-03-09 15:10:30,100042
100,318.851734,275.569769,594.421503,2026-03-09 15:10:35,42
