SizeUm,Channel,Passing
0.0255,0,0
0.03,0,0
0.036,0,0
0.043,0,0
0.051,0,0
0.061,0,0
0.072,0,0
0.086,0,0
0.102,0,0
0.122,0,0
0.145,0,0
0.172,0,0
0.24,0,0
0.243,0,0
0.289,0,0
0.344,0,0
0.409,0,0
0.486,0.55,0.55
0.578,0.82,1.37
0.688,1.05,2.42
0.818,1.21,3.63
0.972,1.39,5.02
1.156,1.68,6.7
1.375,2.09,8.79
1.635,2.6,11.39
1.945,3.13,14.52
2.312,3.6,18.12
2.75,3.98,22.1
3.27,4.28,26.38
3.89,4.51,30.89
4.62,4.61,35.5
5.5,4.56,40.06
6.54,4.39,44.45
7.78,4.22,48.67
9.25,4.16,52.83
11,4.25,57.08
13.08,4.45,61.53
15.56,4.59,66.12
18.5,4.48,70.6
22,4.56,75.16
26.16,4.38,79.54
31.11,4.16,83.7
37,3.83,87.53
44,3.33,90.86
52.33,2.67,93.53
62.23,2,95.53
74,1.43,96.96
88,1.01,97.97
104.7,0.74,98.71
124.5,0.55,99.26
148,0.42,99.68
176,0.32,100
209.3,0,100
248.9,0,100
296,0,100
352,0,100
418.6,0,100
497.8,0,100
592,0,100
704,0,100
837.2,0,100
995.6,0,100
1184,0,100
1408,0,100
