SizeUm,Channel,Passing
0.0255,0,0
0.03,0,0
0.036,0,0
0.043,0,0
0.051,0,0
0.061,0,0
0.072,0,0
0.086,0,0
0.102,0,0
0.122,0,0
0.145,0,0
0.172,0,0
0.24,0,0
0.243,0,0
0.289,0,0
0.344,0,0
0.409,0,0
0.486,0,0
0.578,0.35,0.35
0.688,0.46,0.81
0.818,0.56,1.37
0.972,0.68,2.05
1.156,0.85,2.9
1.375,1.06,3.96
1.635,1.3,5.26
1.945,1.55,6.81
2.312,1.8,8.61
2.75,2.07,10.68
3.27,2.39,13.07
3.89,2.8,15.87
4.62,3.32,19.19
5.5,3.9,23.09
6.54,4.44,27.53
7.78,4.83,32.36
9.25,5.05,37.41
11,5.16,42.57
13.08,5.08,47.65
15.56,5.14,52.79
18.5,5.14,57.94
22,5.11,63.04
26.16,5.11,68.15
31.11,5.14,73.29
37,5.08,78.37
44,4.79,83.16
52.33,4.22,87.38
62.23,3.46,90.84
74,2.67,93.51
88,1.98,95.49
104.7,1.43,96.92
124.5,1.03,97.95
148,0.75,98.7
176,0.55,99.25
209.3,0.42,99.67
248.9,0.33,100
296,0,100
352,0,100
418.6,0,100
497.8,0,100
592,0,100
704,0,100
837.2,0,100
995.6,0,100
1184,0,100
1408,0,100
