SizeUm,Channel,Passing
0.0255,0,0
0.03,0,0
0.036,0,0
0.043,0,0
0.051,0,0
0.061,0,0
0.072,0,0
0.086,0,0
0.102,0,0
0.122,0,0
0.145,0,0
0.172,0,0
0.204,0,0
0.243,0,0
0.289,0,0
0.344,0,0
0.409,0,0
0.486,0,0
0.578,0,0
0.688,0,0
0.818,0.34,0.34
0.972,0.43,0.77
1.156,0.54,1.31
1.375,0.66,1.97
1.635,0.8,2.77
1.945,0.93,3.7
2.313,1.06,4.76
2.75,1.19,5.95
3.27,1.32,7.27
3.89,1.46,8.73
4.63,1.63,10.36
5.5,1.83,12.19
6.54,2.05,14.24
7.78,2.27,16.51
9.25,2.54,19.05
11,2.85,21.9
13.08,3.22,25.12
15.56,3.6,28.72
18.5,3.93,32.65
22,4.22,36.87
26.16,4.56,41.43
31.11,5.09,46.52
37,5.84,52.36
44,6.7,59.06
52.33,7.28,66.34
62.23,7.19,73.53
74,6.63,80.16
88,5.51,85.67
104.7,4.32,89.99
124.5,3.25,93.24
148,2.34,95.58
176,1.63,97.21
209.3,1.11,98.32
248.9,0.76,99.08
296,0.53,99.61
352,0.39,100
418.6,0,100
497.8,0,100
592,0,100
704,0,100
837.2,0,100
995.6,0,100
1184,0,100
1408,0,100
1674,0,100
2000,0,100
