mid,maint_seq_machine,status,primary_mode,compare_mode,primary_action,compare_action,primary_time,compare_time,primary_h,compare_h,primary_duration,compare_duration
0,1,different_action,DQN,POMCP,DN,IM,93.45846076631823,229.86588546283647,0.9792089982926696,0.9830715933969931,0.0,10.0
0,2,different_action,DQN,POMCP,DN,IM,145.9315011387842,336.3006755634536,0.9512511659890757,0.7728461688316619,0.0,10.0
0,3,different_action,DQN,POMCP,DN,IM,229.86588546283647,374.01250135788376,0.9434607629608985,0.6185210250308443,0.0,10.0
0,4,same_action,DQN,POMCP,DN,DN,336.3006755634536,430.47469797533114,0.8994657809970457,0.48037102884717753,0.0,0.0
0,5,different_action,DQN,POMCP,DN,IM,364.01250135788376,605.8708555884688,0.8861164054288071,0.45572761222030345,0.0,10.0
0,6,same_action,DQN,POMCP,DN,DN,410.47469797533114,652.7121290244231,0.8457047357086028,0.39666174957209505,0.0,0.0
0,7,different_action,DQN,POMCP,DN,IM,434.5818367323483,697.8726386348608,0.82246505759179,0.37585624076242524,0.0,10.0
0,8,different_action,DQN,POMCP,DN,IM,667.4473611398928,734.4293807704917,0.8298379215298889,0.3015156739903088,0.0,10.0
0,9,different_action,DQN,POMCP,DN,IM,689.6516894099044,785.6234397761843,0.8157808971113484,0.21887545977771833,0.0,10.0
0,10,different_action,DQN,POMCP,DN,IM,734.4293807704917,858.9087642107573,0.7870783953222837,0.1591422546663638,0.0,12.330632994567441
0,11,same_action,DQN,POMCP,DN,DN,744.4254242751826,915.4690290066237,0.8076319088518111,0.1499905446459867,0.0,0.0
0,12,different_action,DQN,POMCP,DN,IM,784.4044187640812,979.1741609776407,0.767901553456419,0.1091012485706954,0.0,16.370513197101694
0,13,different_action,DQN,POMCP,DN,IM,808.6869879280104,1093.9920266040479,0.7819081229319172,0.11254116970309962,0.0,10.0
0,14,same_action,DQN,POMCP,DN,DN,839.2691844571416,1126.1809440515487,0.7368498134157666,0.09456536936747564,0.0,0.0
0,15,different_action,DQN,POMCP,DN,IM,870.2559530851045,1169.1183214392113,0.7102629131954574,0.08973281229533606,0.0,14.293737738766254
