mid,maint_seq_machine,status,primary_mode,compare_mode,primary_action,compare_action,primary_time,compare_time,primary_h,compare_h,primary_duration,compare_duration
0,1,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,93.45846076631823,84.36858030148596,0.9707293546386386,0.9634619182527157,0.0,10.0
0,2,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,166.6294783594367,177.24291211355649,0.9511107016096042,0.7737231162589682,0.0,0.0
0,3,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,192.95111629088933,203.56455004500913,0.9131635661182796,0.7646039117017062,0.0,0.0
0,4,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,229.86588546283647,229.86588546283647,0.9089519897387935,0.7534601135079423,0.0,0.0
0,5,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,336.3006755634536,336.3006755634536,0.861634518639337,0.6955004194872824,0.0,0.0
0,6,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,364.01250135788376,364.01250135788376,0.8597476864057452,0.690701890183471,0.0,10.0
0,7,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,410.47469797533114,420.47469797533114,0.8344759034085217,0.6120298211287624,0.0,10.0
0,8,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,617.4608916395833,617.4608916395833,0.7849631949108156,0.4633984189582208,0.0,0.0
0,9,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,645.8502390841246,645.8502390841246,0.7735111681159709,0.4890749812205398,0.0,0.0
0,10,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,667.4473611398928,687.969459495758,0.7559943645116348,0.4281122089381457,0.0,0.0
0,11,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,689.6516894099044,734.4293807704917,0.7438079267845245,0.42425798363470607,0.0,0.0
0,12,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,734.4293807704917,744.4254242751826,0.725997063728926,0.40980076027671575,0.0,10.0
0,13,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,744.4254242751826,794.4044187640812,0.7295562369268503,0.38138708650001296,0.0,0.0
0,14,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,784.4044187640812,817.7107487097556,0.708854115187772,0.3651972111197049,0.0,0.0
0,15,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,808.6869879280104,853.4503789507278,0.6979856776698103,0.3452716682412398,0.0,0.0
0,16,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,839.2691844571416,905.8366652771142,0.6837245039716289,0.333789534099533,0.0,0.0
0,17,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,870.2559530851045,969.5417972481312,0.6586823251346405,0.2701463845656063,0.0,0.0
0,18,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,896.3791017710332,993.8396830790153,0.6363892547008216,0.2560701602378009,0.0,0.0
0,19,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,960.0842337420502,1091.638407712304,0.6104073838661219,0.23312411028532984,0.0,0.0
0,20,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,992.826721977452,1124.7568370184845,0.5920195970088075,0.23097794175797456,0.0,0.0
0,21,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1069.5946057757076,1168.736425044213,0.5391147942709862,0.18999514854545532,0.0,0.0
0,22,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1093.9920266040479,1268.6550558650447,0.55712847991692,0.1601747370017685,0.0,0.0
0,23,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1116.1809440515487,1319.7470542115473,0.5532422984716354,0.12271744422264735,0.0,0.0
0,24,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1160.4982971051188,1458.201859414264,0.496346841891395,0.12499739196878247,0.0,0.0
0,25,different_action,CONSTRAINED,UNRESTRICTED,DN,CM,1232.80178952133,1563.7807982572713,0.48024810396849915,0.10565714278981661,0.0,20.0
0,26,different_action,CONSTRAINED,UNRESTRICTED,DN,CM,1283.8937878678325,1692.9206169910365,0.4359291328513399,0.9708194072629291,0.0,20.0
0,27,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1335.038838099392,1752.6825529733032,0.42055680750204616,0.9841573269004651,0.0,0.0
0,28,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1458.201859414264,1917.0282127019027,0.40497827485954485,0.9157298427966725,0.0,0.0
0,29,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,1695.3928149332014,1948.8020427754047,0.4027255097364998,0.9307075136464249,0.0,10.0
0,30,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1899.4001039255243,2213.2585463755345,0.34174225111978757,0.7931114723055982,0.0,0.0
0,31,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1956.5431712635557,2278.1706480981798,0.30267883015994873,0.7477462348702659,0.0,0.0
0,32,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,1988.3170013370577,2304.9922701417927,0.2903661224199706,0.7278334696635234,0.0,0.0
0,33,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2162.525857168134,2321.824468638405,0.29309002861411776,0.7217894079258286,0.0,0.0
0,34,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2213.2585463755345,2362.6198640528282,0.2618096484661927,0.7216842234353079,0.0,0.0
0,35,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,2286.1446994363487,2374.787853176303,0.24713505954752374,0.7299969241340195,0.0,10.0
0,36,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2299.1363582445147,2709.9634372397168,0.24427577966484487,0.6215016380723003,0.0,0.0
0,37,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,2385.8640942565075,2959.8182601722847,0.21326580572043105,0.8839213332972625,0.0,10.0
0,38,same_action,CONSTRAINED,UNRESTRICTED,IM,IM,2398.0320833799824,3071.075731931065,0.2085520262506992,0.7487690145515531,50.97150820429247,10.0
0,39,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2627.3416369895995,3110.09608623541,0.7738036180309691,0.6348619692285349,0.0,0.0
0,40,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,2709.9634372397168,3127.783776064947,0.7479724934445133,0.6341476735059188,0.0,10.0
0,41,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2732.9214962208753,3191.4447327173953,0.7307860675098051,0.48425872826644006,0.0,0.0
0,42,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2778.471911923728,3578.4851758200853,0.7134886216069234,0.48944777505284903,0.0,0.0
0,43,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,2823.367881994538,3606.785228805782,0.6920765592741616,0.4748987814695484,0.0,10.0
0,44,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2851.6668886346833,3679.9843058512333,0.7010397214070199,0.3725576271139595,0.0,0.0
0,45,same_action,CONSTRAINED,UNRESTRICTED,DN,DN,2862.7105010082373,3748.2325547238484,0.6753671350622673,0.3378226618933492,0.0,0.0
0,46,different_action,CONSTRAINED,UNRESTRICTED,DN,CM,3073.711777731497,4004.2568116753723,0.6181914197638937,0.29497232745428914,0.0,20.0
0,47,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3125.1477945128217,,0.5811149090920026,,0.0,
0,48,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3142.8354843423585,,0.5624446870413035,,0.0,
0,49,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3229.1911664271584,,0.5592216418688567,,0.0,
0,50,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3578.4851758200853,,0.5339419587032025,,0.0,
0,51,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3606.785228805782,,0.5236515181381262,,0.0,
0,52,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3672.0660287165383,,0.49984133159556976,,0.0,
0,53,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3734.867042734421,,0.47237393985705034,,0.0,
0,54,missing_on_unrestricted,CONSTRAINED,UNRESTRICTED,DN,,3786.7984028435585,,0.43676739818413,,0.0,
1,1,different_action,CONSTRAINED,UNRESTRICTED,DN,IM,11.053498677682152,11.053498677682152,0.975639914510871,0.9519902360862432,0.0,10.0
