mid,maint_seq_machine,status,primary_mode,compare_mode,primary_action,compare_action,primary_time,compare_time,primary_h,compare_h,primary_duration,compare_duration
0,1,same_action,DQN,POMCP,DN,DN,93.45846076631823,145.9315011387842,0.96911229698832,0.965462572505896,0.0,0.0
0,2,same_action,DQN,POMCP,DN,DN,166.6294783594367,229.86588546283647,0.9359314871819102,0.9515279549324315,0.0,0.0
0,3,same_action,DQN,POMCP,DN,DN,192.95111629088933,336.3006755634536,0.9150195251469756,0.9297442492377923,0.0,0.0
0,4,same_action,DQN,POMCP,DN,DN,229.86588546283647,364.01250135788376,0.9111137709139913,0.9090661575973996,0.0,0.0
0,5,same_action,DQN,POMCP,DN,DN,336.3006755634536,410.47469797533114,0.8587920043699224,0.8779191371568741,0.0,0.0
0,6,same_action,DQN,POMCP,DN,DN,364.01250135788376,605.8708555884688,0.8361574697294781,0.8623908077521826,0.0,0.0
0,7,same_action,DQN,POMCP,DN,DN,410.47469797533114,667.4473611398928,0.832504083549199,0.845214503989207,0.0,0.0
0,8,same_action,DQN,POMCP,DN,DN,617.4608916395833,689.6516894099044,0.7795417828390243,0.8471604760336047,0.0,0.0
0,9,same_action,DQN,POMCP,DN,DN,645.8502390841246,734.4293807704917,0.773427977098273,0.8437432734292047,0.0,0.0
0,10,same_action,DQN,POMCP,DN,DN,667.4473611398928,744.4254242751826,0.7624728872179326,0.8014760078924817,0.0,0.0
0,11,same_action,DQN,POMCP,DN,DN,689.6516894099044,784.4044187640812,0.7343730064955897,0.7929252965820281,0.0,0.0
0,12,same_action,DQN,POMCP,DN,DN,734.4293807704917,807.7107487097556,0.72172288532526,0.7694853946314473,0.0,0.0
0,13,same_action,DQN,POMCP,DN,DN,744.4254242751826,842.6681965502086,0.7350816744979453,0.7846450498307441,0.0,0.0
0,14,same_action,DQN,POMCP,DN,DN,784.4044187640812,906.3733285212255,0.6998879401044815,0.7409969488741796,0.0,0.0
0,15,same_action,DQN,POMCP,DN,DN,808.6869879280104,992.826721977452,0.703560686669728,0.7328807918492324,0.0,0.0
0,16,same_action,DQN,POMCP,DN,DN,839.2691844571416,1077.2143055684087,0.6827913631421314,0.6745772276377932,0.0,0.0
0,17,same_action,DQN,POMCP,DN,DN,870.2559530851045,1093.9920266040479,0.6615898072040204,0.6869514770345237,0.0,0.0
0,18,same_action,DQN,POMCP,DN,DN,896.3791017710332,1116.1809440515487,0.6478378857553544,0.6736240027219705,0.0,0.0
0,19,same_action,DQN,POMCP,DN,DN,960.0842337420502,1160.4982971051188,0.6035137281158272,0.6512936490810144,0.0,0.0
0,20,same_action,DQN,POMCP,DN,DN,992.826721977452,1310.9976885589217,0.5961145132276436,0.6101002147084287,0.0,0.0
0,21,same_action,DQN,POMCP,DN,DN,1093.9920266040479,1369.9131458159097,0.5774867231127611,0.5626813628865455,0.0,0.0
0,22,same_action,DQN,POMCP,DN,DN,1116.1809440515487,1458.201859414264,0.5753141310352761,0.5465513140931466,0.0,0.0
0,23,same_action,DQN,POMCP,DN,DN,1160.4982971051188,1701.9882911274303,0.5314795267617399,0.5235096389076659,0.0,0.0
0,24,same_action,DQN,POMCP,DN,DN,1189.0867038979538,1890.011678352705,0.5329704870169903,0.525597069454874,0.0,0.0
0,25,same_action,DQN,POMCP,DN,DN,1310.9976885589217,2213.2585463755345,0.4758793006506148,0.5093991696232154,0.0,0.0
0,26,same_action,DQN,POMCP,DN,DN,1458.201859414264,2304.9922701417927,0.4643786675955466,0.5049406612074877,0.0,0.0
0,27,same_action,DQN,POMCP,DN,DN,1719.8609408267598,2362.6198640528282,0.4395468262580788,0.4656333217284164,0.0,0.0
0,28,same_action,DQN,POMCP,DN,DN,1899.4001039255243,2374.787853176303,0.40375520859418756,0.48566447060765866,0.0,0.0
0,29,same_action,DQN,POMCP,DN,DN,1956.5431712635557,2430.96721556509,0.3868716828048298,0.46466607248504543,0.0,0.0
